1000 11937
60 57650 0.014285714285714285
60 63200 0.014492753623188406
60 63960 0.014925373134328358
60 65560 0.014285714285714285
60 65790 0.01098901098901099
70 130 0.04712041884816754
70 220 0.005025125628140704
70 280 0.011976047904191617
70 360 0.006711409395973154
70 400 0.005025125628140704
70 420 0.005
70 440 0.005050505050505051
70 2270 0.008333333333333333
70 2300 0.009009009009009009
70 4720 0.007194244604316547
70 4920 0.0058823529411764705
70 6020 0.007518796992481203
70 6910 0.010101010101010102
70 9200 0.006535947712418301
70 12140 0.005494505494505495
70 12150 0.010101010101010102
70 17450 0.009259259259259259
70 17470 0.003861003861003861
70 20920 0.005025125628140704
70 32370 0.005025125628140704
70 34190 0.006711409395973154
70 38400 0.005025125628140704
70 38410 0.005025125628140704
70 47780 0.005025125628140704
70 47810 0.005025125628140704
70 65800 0.005780346820809248
80 130 0.012244897959183673
80 240 0.0205761316872428
80 280 0.009302325581395349
80 320 0.004329004329004329
80 340 0.006097560975609756
80 360 0.015384615384615385
80 380 0.005681818181818182
80 420 0.004032258064516129
80 500 0.004048582995951417
80 630 0.0055248618784530384
80 1250 0.008130081300813009
80 1930 0.0058823529411764705
80 2200 0.008368200836820083
80 2210 0.00558659217877095
80 2330 0.006756756756756757
80 2340 0.006756756756756757
80 2360 0.005988023952095809
80 2370 0.006622516556291391
80 2390 0.006578947368421052
80 2630 0.0034602076124567475
80 2840 0.006711409395973154
80 3270 0.006535947712418301
80 3700 0.011811023622047244
80 3900 0.0058823529411764705
80 3910 0.005494505494505495
80 3920 0.005494505494505495
80 3990 0.0064516129032258064
80 4000 0.004048582995951417
80 4500 0.004048582995951417
80 6020 0.0055248618784530384
80 6120 0.006060606060606061
80 6220 0.0048543689320388345
80 6850 0.005076142131979695
80 6860 0.004048582995951417
80 6900 0.009852216748768473
80 6910 0.004048582995951417
80 6920 0.004830917874396135
80 6980 0.0064516129032258064
80 7000 0.007936507936507936
80 7530 0.006666666666666667
80 7600 0.006134969325153374
80 7650 0.006622516556291391
80 7660 0.006622516556291391
80 7730 0.006666666666666667
80 7760 0.006172839506172839
80 7770 0.006622516556291391
80 7940 0.004048582995951417
80 8190 0.0032679738562091504
80 8800 0.005494505494505495
80 9010 0.004878048780487805
80 9030 0.006756756756756757
80 9040 0.006756756756756757
80 9060 0.005847953216374269
80 9160 0.006666666666666667
80 9480 0.004048582995951417
80 9900 0.0044444444444444444
80 10150 0.004761904761904762
80 11020 0.004048582995951417
80 12100 0.00546448087431694
80 12110 0.004608294930875576
80 12140 0.004347826086956522
80 13560 0.007518796992481203
80 13570 0.011450381679389313
80 13580 0.00641025641025641
80 15000 0.013157894736842105
80 15120 0.005714285714285714
80 15930 0.006711409395973154
80 16450 0.0048543689320388345
80 16810 0.006060606060606061
80 17080 0.006493506493506494
80 17410 0.007662835249042145
80 17480 0.0035842293906810036
80 19830 0.006578947368421052
80 21100 0.004830917874396135
80 21800 0.006535947712418301
80 22000 0.01775147928994083
80 29900 0.009615384615384616
80 32440 0.0037593984962406013
80 33100 0.011428571428571429
80 33110 0.00641025641025641
80 33120 0.006060606060606061
80 33130 0.006329113924050633
80 34830 0.005128205128205128
80 34870 0.0043859649122807015
80 35720 0.005291005291005291
80 39000 0.00625
80 39540 0.005988023952095809
80 39560 0.006578947368421052
80 40390 0.0058823529411764705
80 41000 0.0051813471502590676
80 42700 0.004048582995951417
80 46500 0.0055248618784530384
80 47790 0.0053475935828877
80 50300 0.008130081300813009
80 55100 0.005076142131979695
